 142: 48.408249, 68.159546 avg loss, 0.000000 rate, 18.571286 seconds, 9088 images
 143: 44.829132, 65.826508 avg loss, 0.000000 rate, 18.600170 seconds, 9152 images
 144: 41.465462, 63.390404 avg loss, 0.000000 rate, 18.597056 seconds, 9216 images
 145: 39.072075, 60.958572 avg loss, 0.000000 rate, 18.555279 seconds, 9280 images
 146: 36.257324, 58.488449 avg loss, 0.000000 rate, 18.542650 seconds, 9344 images
 147: 33.010410, 55.940643 avg loss, 0.000000 rate, 18.533081 seconds, 9408 images
 148: 30.863478, 53.432926 avg loss, 0.000000 rate, 18.531230 seconds, 9472 images
 149: 28.320610, 50.921696 avg loss, 0.000000 rate, 18.524011 seconds, 9536 images
 150: 26.049896, 48.434517 avg loss, 0.000001 rate, 18.563902 seconds, 9600 images
 151: 9.736832, 44.564747 avg loss, 0.000001 rate, 7.116227 seconds, 9664 images
 152: 9.581766, 41.066448 avg loss, 0.000001 rate, 7.169874 seconds, 9728 images
 153: 8.371874, 37.796989 avg loss, 0.000001 rate, 7.183410 seconds, 9792 images
 154: 8.099547, 34.827244 avg loss, 0.000001 rate, 7.211113 seconds, 9856 images
 155: 7.536058, 32.098125 avg loss, 0.000001 rate, 7.199016 seconds, 9920 images
 156: 7.389092, 29.627222 avg loss, 0.000001 rate, 7.200296 seconds, 9984 images
 157: 7.141248, 27.378624 avg loss, 0.000001 rate, 7.192824 seconds, 10048 images
 158: 6.478281, 25.288589 avg loss, 0.000001 rate, 7.185104 seconds, 10112 images
 159: 6.460034, 23.405733 avg loss, 0.000001 rate, 7.186246 seconds, 10176 images
 160: 6.087026, 21.673862 avg loss, 0.000001 rate, 7.187261 seconds, 10240 images
 161: 8.032504, 20.309727 avg loss, 0.000001 rate, 11.151178 seconds, 10304 images
 162: 7.521266, 19.030880 avg loss, 0.000001 rate, 11.254807 seconds, 10368 images
 163: 7.263379, 17.854130 avg loss, 0.000001 rate, 11.204930 seconds, 10432 images
 164: 7.058047, 16.774521 avg loss, 0.000001 rate, 11.186403 seconds, 10496 images
 165: 6.885249, 15.785594 avg loss, 0.000001 rate, 11.214753 seconds, 10560 images
 166: 6.644889, 14.871524 avg loss, 0.000001 rate, 11.252546 seconds, 10624 images
 167: 6.025171, 13.986889 avg loss, 0.000001 rate, 11.271677 seconds, 10688 images
 168: 5.818915, 13.170092 avg loss, 0.000001 rate, 11.306973 seconds, 10752 images
 169: 5.571872, 12.410270 avg loss, 0.000001 rate, 11.244284 seconds, 10816 images
 170: 5.643730, 11.733616 avg loss, 0.000001 rate, 11.222074 seconds, 10880 images
 171: 5.875723, 11.147826 avg loss, 0.000001 rate, 11.798758 seconds, 10944 images
 172: 5.616348, 10.594678 avg loss, 0.000001 rate, 11.949071 seconds, 11008 images
 173: 5.277272, 10.062938 avg loss, 0.000001 rate, 11.985929 seconds, 11072 images
 174: 4.826390, 9.539283 avg loss, 0.000001 rate, 12.009534 seconds, 11136 images
 175: 5.072222, 9.092577 avg loss, 0.000001 rate, 12.027962 seconds, 11200 images
 176: 4.681395, 8.651459 avg loss, 0.000001 rate, 12.011546 seconds, 11264 images
 177: 4.712510, 8.257564 avg loss, 0.000001 rate, 11.950399 seconds, 11328 images
 178: 4.283449, 7.860152 avg loss, 0.000001 rate, 11.908545 seconds, 11392 images
 179: 4.040791, 7.478216 avg loss, 0.000001 rate, 11.860591 seconds, 11456 images
 180: 4.010084, 7.131403 avg loss, 0.000001 rate, 11.915279 seconds, 11520 images
 181: 4.126514, 6.830914 avg loss, 0.000001 rate, 13.238422 seconds, 11584 images
 182: 4.288823, 6.576705 avg loss, 0.000001 rate, 13.410082 seconds, 11648 images
 183: 3.590112, 6.278046 avg loss, 0.000001 rate, 13.404445 seconds, 11712 images
 184: 3.731862, 6.023427 avg loss, 0.000001 rate, 13.349574 seconds, 11776 images
 185: 3.537436, 5.774828 avg loss, 0.000001 rate, 13.275237 seconds, 11840 images
 186: 3.376337, 5.534979 avg loss, 0.000001 rate, 13.268113 seconds, 11904 images
 187: 3.570037, 5.338485 avg loss, 0.000001 rate, 13.284641 seconds, 11968 images
 188: 3.123875, 5.117024 avg loss, 0.000001 rate, 13.348056 seconds, 12032 images
 189: 3.295923, 4.934914 avg loss, 0.000001 rate, 13.373768 seconds, 12096 images
 190: 2.910944, 4.732517 avg loss, 0.000001 rate, 13.344682 seconds, 12160 images
 191: 2.726938, 4.531959 avg loss, 0.000001 rate, 10.275286 seconds, 12224 images
 192: 2.457471, 4.324510 avg loss, 0.000001 rate, 10.349396 seconds, 12288 images
 193: 2.501866, 4.142246 avg loss, 0.000001 rate, 10.346443 seconds, 12352 images
 194: 2.764827, 4.004504 avg loss, 0.000001 rate, 10.382133 seconds, 12416 images
 195: 2.693558, 3.873409 avg loss, 0.000001 rate, 10.383830 seconds, 12480 images
 196: 2.378179, 3.723886 avg loss, 0.000001 rate, 10.384009 seconds, 12544 images
 197: 2.228386, 3.574336 avg loss, 0.000002 rate, 10.374243 seconds, 12608 images
